מילה,מספר מופעים
מאותגרת,1
אביר,7
ושתלטנות,1
לפקוח,1
המתרחשת,30
יוצף,1
ספריו,8
ספריה,2
מפגיעת,1
ספריי,1
סאנטורו,8
יוצר,62
שאנקר,2
מזוקק,1
בילינג,2
עכבות,2
גרובן,2
יוגין,34
אריקו,4
אריקה,38
הבהאמה,2
מסוכן,84
הוחזקו,2
מרטין,294
לעריכה,1
E,2
הילייר,4
המזרחי,8
והבלהה,1
שיחלוק,1
לגיבסון,1
הקופסה,2
בנגינה,1
שבגדו,4
לחלומות,1
לתסריטאי,2
ממלצרת,1
משיחה,1
לוויין,5
המקיפה,1
שמירת,3
יומנו,10
יומנה,9
איתות,1
ונחקר,1
הפינוי,1
אקסבייר,4
והשחצנים,1
במשולש,6
הסביבה,15
בנתיים,4
אנלין,8
בזירה,7
ומעמיקה,1
למשותק,1
שטנית,3
המדופלם,2
חריגים,1
לפרסים,3
מגויס,9
לעריכת,1
וולגרן,2
ודאגלס,2
גרפיקת,1
מטרת,2
האלפר,4
האמריקאיים,1
הצדק,23
מסוגלת,13
התרגיל,3
״עושה,1
להתבודד,3
רורשאך,1
סאות'אנד-און-סי,1
ואווירה,2
סאבאג,10
ותיראו,1
פטרסון,37
ואווירת,1
ינצלו,1
ובוחרות,1
קאמיו,1
אבריל,2
וההרפתקה,2
מטרה,36
ירכיבו,1
מוגלגים,1
קאמיל,4
שמגלות,1
וההרפתקן,3
ווגל,10
ווגם,1
המקצוען/מתקין,1
ווגה,1
טולדו,3
הפינות,1
שמארלי,1
סנודגראס,2
והצייד,2
והיום,2
נפשות,6
ופרדיטה,2
הנבחנים,1
ב'מלחמת,1
נשמתם,1
בברך,1
שנטרף,1
והשקטה,2
פטפטנית,1
פוסט-אפוקליפטי,4
גרשון,15
נשמתו,13
ג'יגולו,2
מעכברי,1
גלייזר,2
מהיחסים,2
זורמים,3
הימלטות,4
ווגס,2
כמושלם,1
גאיה,1
בלונדינית,7
רוזנת,1
ה-Swedish,1
גאים,4
גאיל,4
ריצי,48
גאיט,2
צהריים,4
להשקטת,1
אדוק,4
דוטון,10
התגוררה,1
שיוכל,25
שנרצחים,1
היפייפיה,1
טרנסג'נדר,1
התנגשויות,2
האנושית,30
מייבי,2
הגלם,1
ויחדיו,5
מושתלים,1
גאיס,2
להמיס,2
רוזנה,8
שכירי,17
מדברת,6
ממאדים,3
Me,1
שהקשו,1
לפרויקט,2
אודונל,14
נואו,1
נואה,23
ביימאקס,1
מהמסלול,1
כשרורי,1
ובתוכנית,1
הניו-יורקרים,2
O,3
לטובתם,1
גירהארט,1
מהכלא,51
והעוני,2
My,1
למחבוא,1
ואיטית,1
יועצת,3
העילה,1
פרנסוורת,6
MJ,1
מושחתים-כל,1
נואש,28
נואר,10
שעלולה,5
רדזיווילואויסז,2
שהקשר,4
שכדורי,1
סמרטוטית,1
ואקסצנטרי,1
הממונה,8
החורים,1
הנקראת,3
הרוצה,2
דיאודאטו,1
הרוצח,76
סטמטון,2
מתאר,52
הנלחמות,1
הצילום,15
איאלה,4
הביטוי:,1
מוייזס,8
למייקל,2
צלצול,1
למייקי,1
והיכולות,2
מתאי,1
הג’דיי,1
הדרג,1
בלוקבסטר,4
הדרן,3
המגשר,2
הדרך,91
הייתר,1
גוקינן,2
שימרמן,2
רנדולף,2
הבינלאומית,7
ייכנע,2
הוליסטון,2
נורטון,47
וברור,2
שמאלצים,1
דרכי,7
יתעמתו,1
פאצ’ינו,1
אסטרונאוטים,2
דוהו,2
קטעי,11
מהמשותף,2
שמאחוריו,1
הוכחות,4
בלהקת,6
ויחידים,1
שבלוס,2
הזהה,2
משופשף,3
שבלוט,1
הזהב,89
מיוחדת,31
מאין,3
רומיין,8
דוהר,2
שבלוב,1
אולטרון,4
נידהאם,1
מיתולוגיות,1
וולברטון,2
בשיקגו,6
ותכנות,2
מסחררים,1
בליק,2
מהפקודות,1
בוומן,2
תקופת,25
הפרלמנט,1
קינגסטון,6
המהנדס,2
לשאגי,1
למחלה,3
פאנץ,4
סצנות,12
תקשורים,1
מחשבותיו,2
קנדל,6
פאנם,2
ירדוף,2
ורגשותיה,3
קנדי,81
קנדה,9
מצולות,1
לאורסן,2
בנויט,2
נטבחים,2
בלוויות,1
תקופה,25
ירעידו,1
ציניות,2
ממכבי,1
הובס,6
נשבעת,2
והבושה,1
ולהרים,1
נחיתה,3
הובר,3
האורבות,1
שעלילתה,1
אתר,13
דודו,18
דודה,12
מואץ,2
מסטר,2
גור,6
גוש,236
מואס,1
פורלונג,3
דודם,2
גוץ,1
היישר,12
ברכילויות,1
דודי,9
גוס,47
גוף,22
גול,23
אהרון,110
גון,1224
גוט,2
קאטלין,2
גוך,11
רדיאטור,1
גוו,2
LA,3
גוד,83
אתו,9
אתה,37
הובה,2
זווייאגינצב,1
לתסבוכות,2
אתם,19
נחיתת,5
יכחד,1
לקרלוס,1
אתי,2
ולהריץ,1
סיפור,400
המכה,4
פיצ'ר,2
מטראצו,5
דספראדו,1
וואלאס,23
אנגלונד,10
לגביי,2
שמופרים,1
מתמקם,1
לגביו,2
מתמקד,19
מקלאני,2
מסוכסכת,2
מחנאות,4
התמדה,2
מסתכם,1
סיריפונג,2
ומתגייס,1
האוניברסיטאות,2
פוגלסטרם,2
הביולוגי,4
האקשן,21
כשדלתות,2
גרידו,2
שהיות,1
דרמטית,3
מבוטלת,2
המכר,38
מנצלת,4
בהמות,1
והימורים,1
ניאבור,2
עצמות,4
ארוסה,1
פיקסלים,3
סטינבורגן,2
שמצליחים,1
יומרות,2
הפנוי,6
אונדרה,2
מתגי,1
ביסטלי,2
בסוגיית,2
ומטירוף,1
ובניסיון,3
בעובדות,1
מופלא,15
והמוציא,1
מופלל,6
שיעמת,1
מתקיימת,1
נחמדה,6
ולוסי,5
לעכל,2
שוויון,4
ריינר,15
ריסוס,3
המגבלות,1
ריינס,15
רכה,2
קנדי-מרטין,2
המושלמת,22
הפוקימון,6
לברקלי,1
מק'קנה,1
קאזה,2
להחרים,2
הפוליטיקאים,2
המחברת,4
סוזן,85
הממחטות,1
פנטסיה,6
אינספור,10
להחריד,6
זילי,2
להחריב,2
ההדסון,3
שופעת,1
ירגיש,3
וחייבת,1
רייני,5
יולין,8
ומעילות,1
ריינו,5
המאיימות,1
מסבכות,1
המקפיא,2
בנובמבר,3
רוצחת,14
סובלנותה,1
דריק,12
לנובמבר,2
מתוח,4
בוסוורת,14
מתוד,6
בלסטר,4
זעירה,1
חורגת,2
סוזה,3
מתוך,72
השגרתי,1
הברוז,1
מתוק,3
לעור,3
ככדור,1
בוסוורט,4
הברון,5
כשדמויות,1
העיקרי,19
מתות,5
בשרוטי,1
אלנבי,2
אייוואנה,2
רוצחי,7
רוצחו,5
ליצורי-ירח,1
באנדראוטי,1
בנט,71
בני,257
שנונה,9
זרב,6
בנם,33
בנג,12
בנז,6
המזמרים,1
בנה,54
בנו,126
והגותית,1
יקומים,4
מעשה:,1
קובנגלו,2
מנינג,8
וקדוש,1
נחתו,1
יחזרו,2
בנש,2
ג'ני,6
ג'נט,2
ג'נה,6
להדבק,1
בנס,4
פטריוט,4
בנק,24
בנץ,5
נקמתה,4
הערה,2
משתגע,4
הערב,14
גותהאם,3
תוקרו,2
הערך,3
הפורים,1
כשהפינגווינים,1
הפיק,8
שבוצע,5
היוקרתיים,3
המנוכר,7
המתמקדת,4
שלוהיא,1
ברסינגטון,2
באגינס,2
אנטארקטיקה,5
ראפולס,2
ריחוק,1
במצבים,1
המשקיפה,1
והחשד,1
הערת,2
Hentaiman,3
מסביבתו,1
מסביבתה,1
כשהלילה,1
רדיו,18
לופין,1
גאבי,6
וודלי,5
הסחיטה,1
ניחשתם,1
בקונסוליה,2
